"# character; style1, style2...; column; row; unit-value"
"W";"italic";"E";"14";"18"
"X";"italic";"N";"13";"13"
"Y";"italic";"O";"12";"13"
"Z";"italic";"NI";"11";"13"
"Ż";"italic";"NI";"16";"13"
":";"italic";"NI";"4";"6"
";";"italic";"N";"3";"6"
"?";"italic";"NI";"6";"9"
"!";"italic";"NI";"3";"6"
" ";"";"G";"1"
" ";"";"G";"2"
" ";"";"G";"5"
" ";"";"O";"15"
"_";"";"O";"16"
